DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,TOTAL_HOLDING_SHARES,PERCENTAGE,LOCAL_FOREIGN,INVESTOR_TYPE
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,3.200.142.830,"41,10",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,1.197.023.942,"15,37",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,454.011.607,"5,83",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,340.897.429,"4,38",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,273.955.636,"3,52",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,254.992.918,"3,27",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,159.027.175,"2,04",L,ID
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,119.887.170,"1,54",L,CP
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,FTAG INVESTMENT BANK LTD,100.722.000,"1,29",A,IB
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,89.926.520,"1,15",L,CP
27-Feb-2026,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,1.533.682.440,"79,68",L,CP
27-Feb-2026,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,41.979.300,"2,18",L,IS
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,PT. Beyond Media,1.592.831.618,"40,47",L,CP
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,542.042.122,"13,77",L,CP
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,282.886.300,"7,19",,
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,178.745.400,"4,54",L,ID
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,111.372.886,"2,83",,
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,52.975.286,"1,35",,
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,KAIROS EKSPRES INTERNASIONAL PT,52.362.500,"1,33",L,CP
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,43.791.628,"1,11",L,CP
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,41.856.300,"1,06",L,ID
27-Feb-2026,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,39.999.999,"1,02",A,IB
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,538.555.304,"86,75",A,IS
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,30.499.400,"4,91",A,SC
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,28.000.000,"4,51",A,IB
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,21.728.234,"3,50",A,CP
27-Feb-2026,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,1.474.573.133,"53,56",L,CP
27-Feb-2026,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,702.349.867,"25,51",A,CP
27-Feb-2026,ABMM,ABM INVESTAMA Tbk,LO KHENG HONG. DRS,154.835.300,"5,62",L,ID
27-Feb-2026,ABMM,ABM INVESTAMA Tbk,NOBLE INVESTMENT CORPORATION (SPC) LTD.,96.446.100,"3,50",A,CP
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT KAWAN LAMA SEJAHTERA,10.272.189.700,"60,00",L,CP
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,494.894.900,"2,89",A,IB
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,GOVERNMENT OF NORWAY,236.964.100,"1,38",A,OT
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,ARISAIG ASIA FUND LIMITED,206.512.200,"1,21",A,OT
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,194.347.500,"1,14",A,OT
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT PRUDENTIAL LIFE ASSURANCE,182.363.700,"1,07",L,IS
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,TAE SUNG CHUNG,2.720.072.495,"78,40",L,ID
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,JOO HEE KO,155.398.000,"4,48",L,ID
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,SUMAN KIM,131.628.700,"3,79",L,ID
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,KYUNGHEE KO,106.185.900,"3,06",A,ID
27-Feb-2026,ACST,ACSET INDONUSA Tbk,PT. KARYA SUPRA PERKASA,16.115.027.968,"91,17",L,CP
27-Feb-2026,ADCP,ADHI COMMUTER PROPERTI Tbk,ADHI KARYA PERSERO TBK PT.,19.999.900.000,"90,00",L,CP
27-Feb-2026,ADES,AKASHA WIRA INTERNATIONAL Tbk,WATER PARTNERS BOTTLING SA,538.896.713,"91,35",A,CP
27-Feb-2026,ADES,AKASHA WIRA INTERNATIONAL Tbk,DRS SURONO SUBEKTI,6.106.500,"1,04",L,ID
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) Tbk,"PANIN SEKURITAS Tbk, PT",225.739.168,"2,68",L,SC
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) Tbk,PT. MITRACOMM EKASARANA,158.419.800,"1,88",L,CP
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) Tbk,"SALIM, LIM",140.179.823,"1,67",L,ID
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) Tbk,PT WARUNA NUSASENTANA,96.194.100,"1,14",L,CP
27-Feb-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",920.700.000,"74,50",L,IB
27-Feb-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,MUFG Bank Ltd,233.757.759,"18,92",A,IB
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,PROVESTMENT LIMITED,1.925.414.417,"49,51",A,OT
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,"GAJAH TUNGGAL, TbK. PT.",994.150.000,"25,56",L,CP
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,PT SATYA MULIA GEMA GEMILANG,405.356.593,"10,42",L,CP
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,SOETIKNO HARTO SOEWITO,103.005.000,"2,65",L,ID
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,LO KHENG HONG. DRS,50.318.100,"1,29",L,ID
27-Feb-2026,ADMG,POLYCHEM INDONESIA Tbk,NEW WORLD GLOBAL LIMITED,39.997.466,"1,03",A,CP
27-Feb-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,34.933.166.100,"85,45",L,CP
27-Feb-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,VERANUS CAPITAL PTE. LTD.,532.762.560,"1,30",A,IB
27-Feb-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,SILVERCITY ENTERPRISE LIMITED,436.463.680,"1,07",A,CP
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,14.045.425.500,"47,79",L,CP
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,GARIBALDI THOHIR,1.976.632.710,"6,73",L,ID
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,1.174.890.670,"4,00",L,CP
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,EDWIN SOERYADJAYA,1.051.738.544,"3,58",L,ID
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,IR. T. PERMADI RACHMAT,812.988.601,"2,77",L,ID
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,611.849.202,"2,08",L,ID
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,589.195.200,"2,00",L,CP
27-Feb-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,KOREA SOUTH-EAST POWER CO.LTD,480.000.000,"1,63",A,CP
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,J SUWANTA SINARYA DR,555.649.980,"55,23",L,ID
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,UOB KAY HIAN PRIVATE LIMITED,44.095.700,"4,38",A,SC
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,OEY JOHAN SINATRA SUMAWI,25.350.010,"2,52",L,ID
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,JEIHAN SUMAWI PUTRA,25.000.010,"2,48",L,ID
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,Euw Hendry Ernanto,23.750.300,"2,36",L,ID
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,PHILLIP SECURITIES PTE LTD,14.704.300,"1,46",A,SC
27-Feb-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,HASANUDIN,13.976.800,"1,39",L,ID
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. INDO KREASI PRATAMA,450.000.000,"45,00",L,CP
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. SINAR TERANG ASIA RAYA,299.927.300,"29,99",L,CP
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,PT. BENGAWAN TIMUR LAJU,43.000.000,"4,30",L,CP
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,WILDA TETY ARYDESIA,41.000.000,"4,10",L,ID
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,L. HAUW LIONG (LIANTO G),40.392.900,"4,04",L,ID
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,HENRY TIRTASAPUTRA JUNIOR,40.000.000,"4,00",L,ID
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,ROBIN GOENADI,39.777.500,"3,98",L,ID
27-Feb-2026,AGAR,ASIA SEJAHTERA MINA Tbk,INTAN POLANARIA SANTOSA,33.254.300,"3,33",L,ID
27-Feb-2026,AGII,SAMATOR INDO GAS Tbk,PT SAMATOR,1.080.693.020,"35,24",L,CP
27-Feb-2026,AGII,SAMATOR INDO GAS Tbk,MATRIX COMPANY LIMITED,986.967.780,"32,18",A,CP
27-Feb-2026,AGII,SAMATOR INDO GAS Tbk,PT. ANEKA MEGA ENERGI,459.999.000,"15,00",L,CP
27-Feb-2026,AGII,SAMATOR INDO GAS Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,306.666.000,"10,00",L,CP
27-Feb-2026,AGII,SAMATOR INDO GAS Tbk,ZICO TRUST (S) LTD,91.633.900,"2,99",A,CP
27-Feb-2026,AGRO,BANK RAYA INDONESIA Tbk,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",21.487.162.037,"86,85",L,IB
27-Feb-2026,AGRO,BANK RAYA INDONESIA Tbk,DANA PENSUN PERKEBUNAN,600.703.375,"2,43",L,PF
27-Feb-2026,AGRS,BANK IBK INDONESIA Tbk,INDUSTRIAL BANK OF KOREA,43.792.362.385,"91,49",A,OT
27-Feb-2026,AGRS,BANK IBK INDONESIA Tbk,PT KOREA INVESTMENT AND SEKURITAS INDONESIA - REGISTRAR,1.414.728.100,"2,96",L,SC
27-Feb-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,PT ASURANSI CENTRAL ASIA,3.066.343.009,"62,58",L,IS
27-Feb-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,SENDRA GUNAWAN,566.781.066,"11,57",L,ID
27-Feb-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,TAN KAH HO,119.929.263,"2,45",A,ID
27-Feb-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,64.086.000,"1,31",A,IS
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT AIMS INDO INVESTAMA,68.556.991,"31,16",L,CP
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT DELTA WIBAWA BERSAMA,68.493.151,"31,13",L,CP
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,IR EFENDI LEMAN,11.155.000,"5,07",L,ID
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIQIN LING,9.681.000,"4,40",L,ID
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,MELDY TANNOS,6.271.000,"2,85",L,ID
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIANG ZHANG,3.829.000,"1,74",L,ID
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ANTHONY SETIADI,2.736.300,"1,24",L,ID
27-Feb-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ABEL IGNATIUS AUREY,2.588.800,"1,18",L,ID
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,PT. PANGAN SEJAHTERA INVESTAMA,5.444.727.100,"58,47",L,CP
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,PT ASTA ASKARA SENTOSA,1.441.374.472,"15,48",L,CP
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,PRIMANEX LIMITED,173.114.557,"1,86",A,CP
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,ASURANSI SIMAS JIWA,169.350.483,"1,82",L,IS
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,UBS AG SINGAPORE BRANCH,158.836.700,"1,71",A,IB
27-Feb-2026,AISA,FKS FOOD SEJAHTERA Tbk,TROPHY INVESTORS II Ltd,146.693.750,"1,58",A,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENALDIJAYA EKAINTI,1.036.756.100,"16,08",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT BINTANG BERSINAR CEMERLANG,721.187.100,"11,18",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMA BUSANA RAYA,394.611.900,"6,12",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KOREK API GUNA MANDIRI,358.795.300,"5,56",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT SUKSES SELALU SEMPURNA,251.735.200,"3,90",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,RENA LUCIANI HUSADA,250.000.100,"3,88",L,ID
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RELBI JAYA EKA INTI,223.590.000,"3,47",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,OIL AND GAS VENTURES LIMITED,195.289.000,"3,03",A,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT ANTARIKSA BINTANG CEMERLANG,190.502.200,"2,95",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT CIHAMPELAS SEJUTA BUSANA,183.698.600,"2,85",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM KARYA UTAMA,147.670.900,"2,29",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM MAKMUR UTAMA,138.442.000,"2,15",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM JAYA EKA INTI,136.701.600,"2,12",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT JOKOWOW INDONESIA HEBAT,134.889.200,"2,09",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LOKASI EMAS INDONESIA PROPERTI,126.925.800,"1,97",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RESTI JAYA EKA INTI,126.601.700,"1,96",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENA JAYA EKA INTI,122.608.200,"1,90",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM UTAMA JAYA,117.865.600,"1,83",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM KARYA MAKMUR,117.407.100,"1,82",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT MAJU KARYA SRIKANDI,108.858.400,"1,69",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT TALENTA USAHA PRIMA,81.643.800,"1,27",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMPAR BUSANA JAYA,81.643.800,"1,27",L,CP
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,KINGSWOOD UNION CORPORATION,72.535.000,"1,12",A,OT
27-Feb-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LENTERA BINTANG TERANG,68.036.500,"1,05",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,TIARA INTIMAHKOTA,141.027.982,"23,03",,
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PRISMATAMA NUGRAHA,130.019.668,"21,24",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,NAWA PANDUTA,92.133.534,"15,05",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT. TIARA INTIMAHKOTA,80.045.006,"13,07",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT PRISMATAMA NUGRAHA,37.009.340,"6,04",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT GITANIRWANA MANDRASAKTI,28.680.660,"4,68",L,CP
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,HENRY LIEM,14.851.259,"2,43",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,Amirsyah Risjad,10.500.062,"1,72",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DINA RISJAD,10.433.162,"1,70",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DEDEY RISJAD,10.433.162,"1,70",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,ZARANI RISJAD,10.433.162,"1,70",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RIZAL RISJAD,10.433.162,"1,70",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,SELVIYA RISJAD DANANTO,10.433.162,"1,70",L,ID
27-Feb-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RADIAN RISJAD,10.433.161,"1,70",L,ID
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,PT ARTHAKENCANA RAYATAMA,12.787.818.600,"63,71",L,CP
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,EMPLOYEES PROVIDENT FUND BOARD,647.500.000,"3,23",A,PF
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,GOVERNMENT OF NORWAY,608.248.800,"3,03",A,OT
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,THE NT TST CO S/A CIM INVESTMENT FUND ICAV,413.000.000,"2,06",A,MF
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,AKR CORPORINDO TBK.,273.705.000,"1,36",L,CP
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,ABERDEEN ASIA FOCUS PLC,248.938.500,"1,24",A,MF
27-Feb-2026,AKRA,AKR CORPORINDO Tbk,HARYANTO ADIKOESOEMO,212.604.600,"1,06",L,ID
27-Feb-2026,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,665.699.750,"92,46",L,CP
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,PT.GOLDEN ARISTA INTERNATIONAL,1.810.571.784,"67,04",L,CP
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,VERY BUDIAWAN,103.650.948,"3,84",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,HILDA SUTANTO,92.841.438,"3,44",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,DADANG KURNIAWAN WIKARA,90.727.000,"3,36",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,PT ARDANA INVESTAMA INDONESIA,88.526.600,"3,28",L,CP
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,LILI MULYADI SUTANTO,84.307.692,"3,12",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,PT PABRIK KERTAS NOREE INDONESIA,57.587.200,"2,13",L,CP
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,IRENE SASTROAMIJOYO,55.990.400,"2,07",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,HERWANTO SUTANTO,49.230.770,"1,82",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,HERLAMBANG PUTRA SURJADI,46.729.220,"1,73",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,WILLY SOESANTO,45.652.702,"1,69",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,SONNY KOESOEMAHARSONO,33.779.198,"1,25",L,ID
27-Feb-2026,ALDO,ALKINDO NARATAMA Tbk,EDDY YUSUF,28.576.712,"1,06",L,ID
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,PT. GRAHA ADIKA NIAGA,5.202.000.000,"32,87",L,CP
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,SOLOMED CAPITAL PTE LTD,4.998.000.000,"31,58",A,CP
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,BORNEO LOGISTICS SERVICES PTE. LTD.,1.744.000.000,"11,02",A,CP
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,ABUNDANTIA FUND SPC,789.281.240,"4,99",A,MF
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,PINNACLEIQ INCORPORATED VCC SUB-FUND,765.857.300,"4,84",A,MF
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,EMINENCE GLOBAL FUND PCC,747.227.700,"4,72",A,MF
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,NALINKANT AMRATLAL RATHOD,352.621.500,"2,23",L,ID
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,ANINDITHA ANESTYA BAKRIE,308.612.450,"1,95",L,ID
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,PLENTITUDE FUND SPC,244.958.300,"1,55",A,MF
27-Feb-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,INFINITUDE GLOBAL FUND VCC,231.742.250,"1,46",A,CP
27-Feb-2026,ALKA,ALAKASA INDUSTRINDO Tbk,GESIT PERKASA,425.393.555,"83,79",L,CP
27-Feb-2026,ALKA,ALAKASA INDUSTRINDO Tbk,PT. SELARAS INVESTAMA GLOBALINDO,14.369.250,"2,83",L,CP
27-Feb-2026,ALKA,ALAKASA INDUSTRINDO Tbk,ANDREW PASCALIS ADJIPUTRO,12.500.000,"2,46",L,ID
27-Feb-2026,ALKA,ALAKASA INDUSTRINDO Tbk,AGNESRI MAHARLYN FIRANI PUTRI,12.500.000,"2,46",L,ID
27-Feb-2026,ALKA,ALAKASA INDUSTRINDO Tbk,SANTINILESTARI LOKAPRIMA,8.142.750,"1,60",L,CP
27-Feb-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,PT HUSIN INVESTAMA,2.509.983.942,"65,78",L,CP
27-Feb-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,PT ALIM INVESTINDO,600.020.374,"15,72",L,CP
27-Feb-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,PT GUNA INVESTINDO,330.080.000,"8,65",L,CP
27-Feb-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,MARINDO INVESTAMA,93.459.476,"2,45",L,CP
27-Feb-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,PRAKINDO INVESTAMA PT,38.438.704,"1,01",,
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,PT FIKASA BINTANG CEMERLANG,798.633.308,"36,44",L,CP
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,"TIRTAMAS ANGGADA, PT",356.130.919,"16,25",L,CP
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,PT TRIMEGAH SEKURITAS INDONESIA TBK,210.832.443,"9,62",L,SC
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,PERSERO DANAREKSA PT a/c SPECIAL,149.437.339,"6,82",L,CP
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,IRENE THESMAN,108.790.006,"4,96",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,LIONG JUEN FAT,73.914.500,"3,37",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,IR. BUDIJANTO SETIAWAN,70.615.500,"3,22",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,DRS JOSEPH SUSILO,47.605.800,"2,17",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,BHAKTI SALIM,46.900.000,"2,14",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,ANTONIUS ANDI SUSANTO,44.805.150,"2,04",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,SOEGIANTO,37.462.600,"1,71",L,ID
27-Feb-2026,ALTO,TRI BANYAN TIRTA Tbk,PT.TUDUNG BERSAMA TIRTA,30.670.000,"1,40",L,CP
